Date,Version,Mode,Side,Season ID,Boss,Boss Icon,Member 1,Member 1 Icon,Member 2,Member 2 Icon,Member 3,Member 3 Icon,Member 4,Member 4 Icon,Score
05/12/2025,3.2,Memory of Chaos 12,Node 2,1023,Wonder Forest's Banacademic Office Staff,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_3004020.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,Ruan Mei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1303.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,3
04/28/2025,3.2,Pure Fiction 4,Node 1,2014,Stellaron Hunter: Kafka,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_2004010.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Mydei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1404.webp,Ruan Mei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1303.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,40000
04/28/2025,3.2,Pure Fiction 4,Node 2,2014,Flame Reaver of the Deepest Dark,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4034010.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,40000
04/14/2025,3.2,Apocalyptic Shadow 4,Node 1,3008,Sky-Shrouding Stardevourer Swarm,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8025010.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Mydei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1404.webp,Ruan Mei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1303.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,3676
04/14/2025,3.2,Apocalyptic Shadow 4,Node 2,3008,Fulminating Wolflord,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_2034010.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Tingyun,https://stardb.gg/api/static/StarRailResWebp/icon/character/1202.webp,3809
03/31/2025,3.1,Memory of Chaos 12,Node 1,1022,Flame Reaver of the Deepest Dark,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4034010.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Argenti,https://stardb.gg/api/static/StarRailResWebp/icon/character/1302.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Gallagher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1301.webp,2
03/31/2025,3.1,Memory of Chaos 12,Node 2,1022,Stellaron Hunter: Kafka,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_2004010.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Mydei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1404.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,Ruan Mei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1303.webp,0
03/17/2025,3.1,Pure Fiction 4,Node 1,2013,Swarm: True Sting,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8024010.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1013.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,40000
03/17/2025,3.1,Pure Fiction 4,Node 2,2013,"Savage God, Mad King, Incarnation of Strife",https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4014010.webp,Argenti,https://stardb.gg/api/static/StarRailResWebp/icon/character/1302.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,40000
03/03/2025,3.1,Apocalyptic Shadow 4,Node 1,3007,Daring Diceroller,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8034010.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,HM7,https://stardb.gg/api/static/StarRailResWebp/icon/character/1224.webp,3762
03/03/2025,3.1,Apocalyptic Shadow 4,Node 2,3007,Blaznana Monkey Trick,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_3004020.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Pela,https://stardb.gg/api/static/StarRailResWebp/icon/character/1106.webp,Argenti,https://stardb.gg/api/static/StarRailResWebp/icon/character/1302.webp,3620
02/17/2025,3.0,Memory of Chaos 12,Node 1,1021,Swarm: True Sting,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8024010.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,
02/17/2025,3.0,Memory of Chaos 12,Node 2,1021,"The Giver, Master of Legions, Lance of Fury",https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4014020.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Argenti,https://stardb.gg/api/static/StarRailResWebp/icon/character/1302.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,
02/03/2025,3.0,Pure Fiction 4,Node 1,2012,Cocolia,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_1004010.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1013.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,40000
02/03/2025,3.0,Pure Fiction 4,Node 2,2012,Argenti,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_3024010.webp,Argenti,https://stardb.gg/api/static/StarRailResWebp/icon/character/1302.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,40000
01/20/2025,3.0,Apocalyptic Shadow 4,Node 1,3006,Sky-Shrouding Stardevourer Swarm,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8025010.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Argenti,https://stardb.gg/api/static/StarRailResWebp/icon/character/1302.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,3673
01/20/2025,3.0,Apocalyptic Shadow 4,Node 2,3006,Opportunistic Provocateur,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8015020.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,HM7,https://stardb.gg/api/static/StarRailResWebp/icon/character/1224.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,3711
